country_name;year;gdp;gdp_per_capita
Benin;2017;12701654743;1137
Mozambique;2021;16095828897;500
Mozambique;2020;14028811072;449
Mozambique;2019;15390031040;507
Mozambique;2018;14845400593;503
Mozambique;2017;13219079498;461
Guinea;2021;15850520384;1174
Guinea;2020;14169626010;1079
Guinea;2019;13442861444;1053
Guinea;2018;11857030337;955
Guinea;2017;10324668267;856
Niger;2021;14950949875;595
Micronesia;2021;404178050;3477
Niger;2020;13741378450;568
Micronesia;2020;407515928;3543
Niger;2019;12916455161;554
Micronesia;2019;412479413;3624
Niger;2018;12808660528;571
Micronesia;2018;401932300;3568
Niger;2017;11185102400;518
Micronesia;2017;366666800;3290
Madagascar;2021;14637400396;515
Cabo Verde;2021;1936174043;3446
Madagascar;2020;13225591804;478
